"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"1513","065370","CO","005",120,"No","Yes","No",0.92,11.811,84.88,25,79.76,59.47,0,35.63,48.28,16.09,"0.1270",0.1195
"1526","065397","CO","123",53,"No","Yes","No",0,12.479,86.18,29.73,81.08,65.52,0,52.5,47.5,0,".",0.1189
"1534","06A006","CO","011",56,"No","No","No",0,12.921,83.03,27.08,75,48.78,0,33.33,41.67,25,".",0.1504
"1535","06A014","CO","059",120,"Yes","Yes","No",0,12.221,86.27,32.43,70.27,72.6,0,19.82,69.37,10.81,".",0.0919
"1559","06A167","CO","005",93,"No","No","No",0,12.429,88.08,19.05,69.05,63.27,0,23.81,40.48,35.71,"0.1108",0.1509
"1574","06A194","CO","001",180,"Yes","No","No",0.59,11.365,82.2,29.66,60.69,13.25,0,37.24,53.79,8.97,"0.1255",0.1015
"1575","075001","CT","001",274,"No","Yes","No",0.42,12.734,82.66,24.55,74.09,58.27,0,31.22,59.73,9.05,".",0.1731
"1577","075013","CT","003",155,"No","Yes","No",0,12.567,83.2,33.68,73.68,58.25,0,38.3,42.55,19.15,".",0.1435
"1578","075017","CT","009",120,"No","Yes","No",0,12.742,75.63,30.88,86.76,57.17,0,86.3,13.7,0,"0.1741",0.2061
"1582","075035","CT","003",130,"No","Yes","No",2,11.809,78.16,27.08,79.17,52.7,0,30.61,69.39,0,"0.1737",0.1258
"1583","075040","CT","009",150,"No","Yes","No",0,10.499,68.09,10.26,64.96,38.86,0,52.07,38.84,9.09,".",0.1445
"1591","075063","CT","003",199,"No","No","No",0,11.52,85.59,20.69,82.07,56.63,0,41.78,47.95,10.27,"0.1459",0.1538
"1592","075064","CT","009",120,"No","Yes","No",0,11.713,84.65,23.66,51.61,63.59,0,34.04,50,15.96,"0.1458",0.1406
"1594","075068","CT","015",124,"No","Yes","No",0,11.086,73.24,30.68,82.95,46.38,0,32.58,51.69,15.73,".",0.1578
"1596","075070","CT","007",120,"No","Yes","No",0,11.606,82.23,26.83,75.61,63.09,0,19.51,68.29,12.2,".",0.1272
