"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"8438","31A002","NJ","001",180,"No","No","No",0.68,12.847,81.78,9.63,82.22,55.63,0,34.81,52.59,12.59,"0.1928",0.2065
"8440","31A010","NJ","003",120,"No","Yes","No",0,11.981,85.43,31.58,89.47,60.22,0,30.53,53.68,15.79,"0.2082",0.1212
"8442","31A018","NJ","039",100,"No","Yes","No",1.18,10.767,75.52,15.07,76.71,42.11,0,37.84,45.95,16.22,".",0.2375
"8443","31A023","NJ","013",230,"No","Yes","No",0.55,12.677,75.25,10.32,80.65,56.32,0,36.94,50.96,12.1,"0.1702",0.181
"8444","31A025","NJ","035",200,"No","Yes","No",0.63,12.899,84.12,17.14,81.43,61.61,0,21.13,62.68,16.2,"0.1252",0.1668
"8445","31A026","NJ","021",218,"No","Yes","No",3.66,12.002,77.82,7.61,60.87,59.26,0,41.4,50,8.6,"0.1013",0.18
"8446","31A027","NJ","025",147,"No","No","No",0,12.24,85.2,34.26,87.96,60.94,0,24.55,62.73,12.73,"0.1920",0.1517
"8452","31A038","NJ","017",334,"No","Yes","No",1.77,10.423,72.53,7.57,67.33,58.19,0,40.94,52.36,6.69,"0.2008",0.2581
"8458","31A080","NJ","023",108,"No","No","No",0,11.674,87.59,30,89.89,70.99,0,37.78,62.22,0,"0.2258",0.2816
"8460","31A085","NJ","017",139,"No","No","No",0,12.205,85.07,25,81.03,66.15,0,36.75,51.28,11.97,"0.1970",0.1846
"8461","31A088","NJ","037",105,"No","Yes","No",0,12.641,82.26,17.33,73.33,56,0,24,58.67,17.33,"0.1882",0.1833
"8462","31A090","NJ","041",180,"No","Yes","No",0,11.422,81.21,14.42,82.69,65.46,0,9.62,79.81,10.58,".",0.1038
"8463","31A093","NJ","009",60,"No","No","No",0,14.241,88.23,33.33,80.56,68.91,0,41.67,58.33,0,"0.2246",0.2045
"8466","31A098","NJ","011",196,"No","Yes","No",5.96,12.292,77.06,20,74.07,49.45,0,41.13,49.65,9.22,"0.3212",0.2326
"8468","31A108","NJ","035",265,"No","Yes","No",0,11.881,86.2,27.27,83.96,59.17,0,36.56,55.91,7.53,"0.2042",0.1766
"8470","31A115","NJ","003",155,"No","Yes","No",0,13.362,87.58,13.39,75,65.77,0,27.68,55.36,16.96,"0.1683",0.1383
"8471","31A120","NJ","021",180,"No","No","No",0,12.858,88.37,9.48,76.72,62.93,0,23.28,56.03,20.69,".",0.1288
"8474","31A131","NJ","003",161,"No","Yes","No",0,12.258,79.48,23.08,85.47,52.82,0,20,66.67,13.33,".",0.1429
"8485","31A170","NJ","025",170,"No","Yes","No",0,11.21,81.24,17.83,74.42,61.24,0,37.21,52.71,10.08,"0.1878",0.1486
"8490","31A182","NJ","003",298,"No","No","No",0,12.975,84.66,15.09,78.45,63.55,0,22.08,48.48,29.44,"0.1166",0.105
"8491","31A190","NJ","023",140,"No","Yes","No",3.42,12.79,77.52,21.88,79.17,63.07,0,43.3,42.27,14.43,".",0.2088
"8492","31A191","NJ","027",155,"No","Yes","No",0,12.134,85.37,16.79,80.15,68,0,35.61,55.3,9.09,"0.1975",0.222
"8495","31A194","NJ","017",215,"No","Yes","No",0,12.053,81.48,20.13,84.28,54.9,0,36.25,53.13,10.63,"0.1774",0.1545
"8499","31E300","NJ","023",136,"No","Yes","No",0,13.786,85.37,29.27,84.15,62.82,0,28.92,42.17,28.92,"0.1252",0.1674
"8503","31E324","NJ","003",110,"No","No","No",0,12.473,83.28,16.05,71.6,57.63,0,23.46,38.27,38.27,".",0.2055
"8504","325007","NM","017",200,"No","No","No",7.26,11.74,79.95,13.39,57.48,50,0,25,47.66,27.34,".",0.1586
"8506","325032","NM","001",140,"No","Yes","No",0.85,12.084,73.42,11.43,68.57,44.14,0,27.88,54.81,17.31,"0.2140",0.1918
"8518","325044","NM","005",120,"Yes","Yes","No",0.93,12.278,78.93,12.05,74.7,53.52,0,21.43,46.43,32.14,".",0.1571
"8519","325045","NM","001",369,"No","Yes","No",0,12.065,68.24,11.97,61.17,34.55,0,28.8,65.05,6.15,"0.1187",0.1893
"8528","325103","NM","045",144,"Yes","Yes","No",0,12.61,85.78,23.15,82.41,69.26,0,30.63,56.76,12.61,".",0.1265
"8557","32E046","NM","001",117,"No","Yes","No",0,12.242,82.43,25,66.25,59.78,0,20.83,64.58,14.58,"0.1469",0.1276
"8564","32E063","NM","017",100,"Yes","Yes","No",2.82,12.843,80.72,19.72,59.15,55.56,0,38.03,61.97,0,".",0.154
"8574","335003","NY","119",100,"No","Yes","No",0,11.98,74.95,20.73,75.61,61.96,0,28.05,37.8,34.15,"0.1882",0.1254
"8576","335005","NY","119",131,"No","No","No",0,13.09,70.66,18.1,73.33,52.5,0,46.67,37.14,16.19,".",0.2118
"8577","335006","NY","065",280,"No","No","No",1.17,11.604,84.19,29.07,84.58,58.95,0,25.55,35.24,39.21,".",0.1576
"8578","335008","NY","055",455,"Yes","No","No",0.26,11.046,86.32,22.38,63.17,68.78,0,19.43,67.14,13.43,".",0.1599
"8579","335011","NY","005",264,"No","No","No",0,12.247,86.55,14.88,86.98,68.1,0,34.42,53.95,11.63,"0.1111",0.1466
"8580","335014","NY","093",240,"No","Yes","No",0,11.654,85.07,20.98,84.95,63.4,0,33.17,62.02,4.81,"0.1163",0.1186
"8581","335015","NY","005",366,"No","No","No",0.29,12.097,81.14,26.96,81.19,62.08,0,35.33,40.06,24.61,"0.1703",0.1937
"8583","335019","NY","005",236,"No","Yes","No",0,13.096,76.88,21.53,82.78,62.87,0,40.19,47.85,11.96,"0.1737",0.2164
"8584","335020","NY","005",705,"No","No","No",0,13.339,84.35,22.22,78.61,65.06,0,28.95,62.88,8.17,"0.1694",0.1602
"8585","335022","NY","059",180,"No","Yes","No",2.4,14.61,86,28.86,76.51,62.26,0,30.72,53.59,15.69,"0.1241",0.1336
"8586","335023","NY","059",589,"No","No","No",0.4,12.033,74.18,10.99,76.72,46.96,3,38.54,39.61,21.84,"0.1348",0.1681
"8587","335024","NY","059",182,"No","Yes","No",1.75,10.711,72.03,11.66,65.64,55.65,0,15.95,68.1,15.95,".",0.1069
"8589","335028","NY","005",400,"No","Yes","No",1.34,11.872,75.88,10.06,67.15,49.03,0,37.54,54.15,8.31,"0.1798",0.165
"8590","335030","NY","005",122,"No","Yes","No",0,10.928,74.36,26.21,82.52,36.28,0,18.45,66.99,14.56,"0.1846",0.1546
"8591","335034","NY","121",138,"No","No","Yes",0,12.105,82.79,23.08,77.78,58.2,0,28.21,56.41,15.38,".",0.1078
"8594","335046","NY","087",231,"No","No","No",2.87,14.562,77.91,17.13,82.87,51.91,8.24,29.67,44.51,25.82,"0.1810",0.1259
"8596","335050","NY","061",362,"No","No","No",0,12.921,87.24,22.76,77.59,63.38,0,31.96,53.26,14.78,".",0.1632
"8597","335053","NY","015",305,"Yes","Yes","No",0,12.118,78.84,32.7,71.1,51.6,0,29.39,50.38,20.23,".",0.1645
"8598","335056","NY","029",92,"Yes","Yes","No",0,12.498,87.53,15.38,67.95,62.77,0,25.64,57.69,16.67,"0.0856",0.1015
"8601","335067","NY","103",195,"No","Yes","No",0.54,12.484,76.32,15,78.75,47.56,0,41.1,47.85,11.04,"0.1641",0.1768
"8604","335070","NY","047",240,"No","No","No",0,13.444,78.31,13.4,87.08,56.31,0,30.95,43.33,25.71,"0.1972",0.1607
"8608","335078","NY","119",200,"No","No","No",0.85,12.593,86.17,25,78.26,66.08,0,31.25,57.29,11.46,".",0.1491
"8611","335081","NY","055",470,"Yes","No","No",0,11.948,87.75,18.75,58.5,68.1,0,29.5,60,10.5,"0.1517",0.1868
"8612","335082","NY","055",229,"No","Yes","No",0,12.068,75.8,22.17,75.74,52.7,0,39.9,49.75,10.34,"0.2114",0.1812
"8613","335083","NY","103",175,"No","Yes","No",6.21,12.335,81.26,17.61,76.1,57.32,0,39.38,49.38,11.25,".",0.2258
"8615","335090","NY","007",120,"Yes","No","No",0,12.011,89.03,26.21,70.87,75.98,0,20.19,51.92,27.88,".",0.0941
"8616","335091","NY","035",176,"No","Yes","No",0.59,11.282,76.75,15.89,63.58,44.65,0,40,41.38,18.62,".",0.1225
"8617","335092","NY","061",1389,"No","No","Yes",3.14,17.978,61.72,11.46,61.15,44.83,19.11,24.2,15.29,60.51,".",0.1363
"8618","335093","NY","081",196,"No","Yes","No",1.13,11.849,68.31,8.05,73.83,46.32,0,45.64,43.62,10.74,"0.2029",0.2221
"8621","335098","NY","069",345,"No","No","Yes",2.48,11.731,82.5,14.39,67.05,60.16,0,34.01,51.82,14.17,".",0.1266
"8622","335100","NY","061",705,"No","No","No",0.29,13.639,80.02,19.07,84.46,59.86,4.48,25.6,57.28,17.12,"0.1970",0.2032
"8624","335104","NY","047",79,"No","Yes","No",8.11,14.502,81.26,21.13,78.87,59.26,0,39.44,32.39,28.17,"0.2406",0.2273
"8625","335105","NY","055",362,"Yes","No","No",0,11.812,84.76,22.62,57.38,62.04,0,24.92,60,15.08,"0.1335",0.1427
"8626","335108","NY","085",304,"No","No","No",1.01,13.226,78.83,14.09,72.51,53.99,0,15.75,59.25,25,"0.1320",0.1682
"8627","335110","NY","083",242,"Yes","Yes","No",0.43,11.985,81.42,13.4,66.99,62.2,0,33.33,58.45,8.21,".",0.2799
"8629","335125","NY","047",188,"No","Yes","No",1.69,13.263,78.23,24.07,87.12,67.35,0,41.1,46.01,12.88,"0.1729",0.1289
"8630","335127","NY","033",135,"No","No","Yes",4.72,12.427,80.45,24.35,71.3,60.09,0,31.36,56.78,11.86,".",0.1396
"8632","335130","NY","081",179,"No","Yes","No",0,13.145,82.37,15.49,85.92,62.27,0,24.82,67.38,7.8,"0.2024",0.1705
"8633","335131","NY","047",148,"No","Yes","No",2.16,12.014,71.58,13.85,80,32.91,0,24.59,57.38,18.03,"0.1716",0.0774
"8634","335132","NY","081",527,"No","No","No",0,12.976,83.09,24.82,85.68,57.37,0,41.19,49.76,9.05,"0.1460",0.1416
"8635","335133","NY","081",227,"No","Yes","No",0,13.188,84.69,8.04,79.4,55.44,0,13.5,62,24.5,".",0.1207
"8636","335136","NY","067",583,"Yes","No","No",0.35,11.738,82.36,19.41,77.06,57.96,0,29.92,53.94,16.14,".",0.1975
"8637","335139","NY","081",100,"No","Yes","No",0,12.784,81.87,21.52,75.95,64.56,0,41.25,43.75,15,"0.2105",0.1945
"8642","335146","NY","081",200,"No","Yes","No",0,13.606,79.76,16.86,76.16,55.07,0,40.46,51.45,8.09,"0.2250",0.1875
"8643","335148","NY","087",203,"No","Yes","No",0,13.11,82.05,8.38,78.77,66.03,0,40.22,44.13,15.64,".",0.1448
"8646","335156","NY","059",100,"No","Yes","No",0,15.812,75.64,39.24,70.89,53.33,32.91,43.04,39.24,17.72,"0.1372",0.1704
"8647","335158","NY","059",100,"No","Yes","No",0,13.086,82.67,25.93,86.42,61.19,0,24.42,55.81,19.77,".",0.2137
"8650","335161","NY","059",142,"No","Yes","No",0,13.806,83.63,26.5,85.47,71.52,0,36.89,44.26,18.85,"0.1348",0.1364
"8651","335162","NY","059",185,"No","Yes","No",1.12,12.413,66.15,11.59,66.46,50.69,0,37.42,40.49,22.09,".",0.1747
"8653","335164","NY","029",173,"No","Yes","No",0,13.214,76.04,12.59,72.73,51.84,0,33.33,52.78,13.89,"0.1893",0.1542
"8654","335165","NY","081",183,"No","Yes","No",0,9.8,70.55,22.16,83.83,32.08,0,19.16,67.66,13.17,"0.1267",0.1142
"8657","335174","NY","047",364,"No","No","No",0,13.625,79.89,19.09,82.73,63.62,0,37.05,36.14,26.81,".",0.174
"8660","335178","NY","047",215,"No","Yes","No",1.43,13.362,73.2,8.76,84.02,38.57,0,36.92,56.92,6.15,"0.1742",0.1508
"8663","335184","NY","067",513,"No","Yes","No",5.76,11.996,75,15.83,65.54,47.86,0,34.81,43.46,21.73,".",0.1477
"8664","335185","NY","119",153,"No","Yes","No",2.88,13.597,84.53,14.05,74.38,67.01,0,29.75,47.11,23.14,".",0.1804
"8665","335187","NY","005",167,"No","Yes","No",0.66,12.127,75.09,17.99,67.14,46.87,0,39.29,48.57,12.14,"0.2122",0.1848
"8667","335190","NY","067",132,"No","No","No",6.61,12.185,87.93,15.89,67.29,58.45,0,22.02,66.97,11.01,".",0.1112
"8668","335196","NY","085",278,"No","Yes","No",3.96,14.414,74.69,11.87,61.19,56.85,12.61,28.25,47.53,24.22,".",0.1752
"8671","335201","NY","005",448,"No","No","No",0,13.254,72.57,13.51,75.58,53.49,0,35.51,52.48,12.01,"0.1662",0.1369
"8673","335204","NY","077",130,"No","No","Yes",16.54,11.258,86.54,26.05,61.34,66.28,0,35.54,55.37,9.09,".",0.1381
"8677","335212","NY","073",120,"Yes","Yes","No",0,11.306,83.94,35.42,81.25,67.33,0,21.88,64.58,13.54,"0.1603",0.1713
"8678","335213","NY","103",320,"Yes","No","No",1.4,12.632,81.76,13.36,70.85,65.83,0,37.55,49.39,13.06,"0.1529",0.1803
"8679","335214","NY","005",200,"No","Yes","No",3.59,15.441,69.24,15.43,85.71,52.8,17.14,19.54,46.55,33.91,"0.1255",0.1258
"8683","335220","NY","033",60,"No","No","Yes",0,10.719,85.04,24.53,71.7,61.54,0,30.19,69.81,0,".",0.0755
"8684","335222","NY","059",251,"No","Yes","No",0.45,10.908,69.44,13.89,71.76,48.33,0,52.07,37.79,10.14,"0.2224",0.2786
"8687","335226","NY","007",180,"Yes","Yes","No",0,11.718,84.85,25.6,77.6,71.52,0,34.43,52.46,13.11,"0.1671",0.1839
"8688","335227","NY","005",524,"No","Yes","No",0,13.286,81.07,16.82,89.1,56.6,0,33.25,56.13,10.61,"0.2221",0.1935
"8692","335232","NY","061",499,"No","Yes","No",0,12.185,84.03,18.81,81.44,65.24,0,37.32,53.41,9.27,"0.1966",0.1964
"8695","335238","NY","071",360,"No","No","No",2.69,13.431,84.76,19.03,70.32,62.73,0,21.02,62.1,16.88,"0.1729",0.1958
"8696","335239","NY","085",576,"No","Yes","No",1.45,13.988,81.96,25.64,80.6,59.63,0,37.07,30.21,32.72,"0.1717",0.1907
"8697","335243","NY","077",80,"No","Yes","No",1.39,12.104,82.46,23.53,75,57.8,0,35.29,44.12,20.59,".",0.1537
"8700","335248","NY","005",200,"No","Yes","No",0,13.789,71.25,10.17,79.1,38.65,9.5,39.11,48.6,12.29,"0.1246",0.1474
"8701","335249","NY","109",160,"No","Yes","No",0,11.029,78.91,20.17,62.18,53.82,0,39.5,44.54,15.97,".",0.2343
"8702","335250","NY","059",200,"No","Yes","No",1.7,13.772,83.42,19.16,75.45,62.9,0,22.42,49.09,28.48,".",0.185
"8703","335252","NY","093",210,"No","No","No",1.5,12.315,85.77,15.47,71.82,65.18,0,19.89,34.25,45.86,".",0.1171
"8704","335253","NY","067",160,"Yes","Yes","No",3.23,11.654,74.81,16.67,76.81,44.3,0,26.43,62.14,11.43,".",0.1261
"8705","335254","NY","103",181,"No","Yes","No",0,12.385,83.78,19.67,83.47,57.55,0,29.51,42.62,27.87,"0.1823",0.1671
"8708","335257","NY","061",205,"No","Yes","No",0,12.399,77.8,18.64,83.62,56.95,0,35.23,40.34,24.43,"0.3055",0.2161
"8709","335259","NY","119",130,"No","Yes","No",0,12.783,85.98,43.88,78.57,61.76,0,33.33,47.47,19.19,"0.1857",0.1998
"8710","335261","NY","119",300,"No","Yes","No",0.35,12.581,82.54,22.83,71.26,56.83,0,26.67,56.08,17.25,"0.1889",0.1616
"8711","335263","NY","055",182,"Yes","No","No",0,11.812,85.4,18.62,77.24,64.72,0,26.71,56.85,16.44,".",0.0792
"8712","335264","NY","059",150,"No","Yes","No",0,13.555,83.38,8.13,73.98,59.9,0,23.39,54.03,22.58,"0.1232",0.128
"8713","335265","NY","083",362,"Yes","No","No",0.86,11.725,86.49,23.15,85.16,68.57,0,35.61,51.93,12.46,".",0.0921
"8714","335266","NY","081",200,"No","Yes","No",1.04,13.404,79.46,13.45,77.78,53.48,0,24.56,63.16,12.28,"0.1780",0.2412
"8715","335267","NY","031",156,"No","Yes","No",2.94,12.074,85.56,15.87,58.73,54.23,0,22.22,50.79,26.98,"0.0969",0.0956
"8716","335268","NY","013",148,"No","No","No",0,11.862,83.84,48.44,79.69,72.97,0,41.09,44.96,13.95,".",0.1029
"8718","335271","NY","119",196,"No","Yes","No",0.56,14.227,76.2,21.76,82.94,55.96,11.76,32.94,46.47,20.59,"0.1468",0.1564
"8720","335274","NY","103",120,"No","No","No",0,13.311,84.58,15.15,74.75,56.74,0,34.34,41.41,24.24,".",0.0751
"8721","335275","NY","027",62,"No","No","No",0,12.944,77.31,0,40.48,45.92,0,26.19,52.38,21.43,"0.1247",0.14
"8722","335279","NY","059",200,"Yes","Yes","No",5.46,12.734,72.88,15.25,79.66,48.78,0,44.07,46.89,9.04,".",0.1245
"8724","335281","NY","029",320,"Yes","Yes","No",0,12.554,83.16,19.56,67.53,53.15,0,23.62,55.72,20.66,".",0.1492
"8725","335283","NY","067",284,"No","No","No",1.95,11.948,84.03,13.97,64.63,62.47,0,23.48,23.04,53.48,"0.2173",0.2041
"8727","335285","NY","087",200,"No","Yes","No",4.46,13.414,80.82,20.9,72.39,53.71,0,21.48,54.07,24.44,"0.1356",0.134
"8728","335286","NY","103",315,"No","Yes","No",0,12.626,86.91,20.3,85.34,60.55,0,32.46,61.57,5.97,"0.1290",0.1624
"8730","335288","NY","047",320,"No","Yes","No",0,13.022,82.78,31.09,94.12,60.07,0,28.4,46.91,24.69,"0.2188",0.1893
"8732","335290","NY","047",189,"No","Yes","No",1.1,13.505,79.2,16.56,86.5,53.92,0,36.36,52.73,10.91,"0.1289",0.1545
"8733","335291","NY","007",300,"Yes","No","No",1.77,12.094,84.34,23.64,75.97,58.13,0,28.85,58.46,12.69,".",0.1625
"8735","335294","NY","081",200,"No","Yes","No",0,14.376,76.8,11.11,74.07,46.86,9.26,44.44,39.51,16.05,".",0.0898
"8736","335296","NY","119",300,"Yes","No","No",1.01,12.682,85.44,18.35,75.54,61.33,0,25.54,59.35,15.11,"0.1379",0.1682
"8737","335297","NY","059",158,"No","Yes","No",0,13.339,86.34,18.12,83.33,62.53,0,28.26,59.42,12.32,"0.1288",0.13
"8739","335300","NY","115",196,"No","No","No",1.2,11.602,83.88,9.44,61.67,67.84,0,30.94,49.17,19.89,"0.1464",0.1531
"8740","335301","NY","103",230,"No","Yes","No",2.26,11.921,85.14,25.77,82.99,63.59,0,41.03,45.13,13.85,".",0.1522
"8741","335306","NY","113",120,"No","Yes","No",0.9,11.117,86.82,17.17,56.57,65.69,0,38,51,11,"0.1493",0.184
"8744","335310","NY","081",160,"No","Yes","No",0,12.846,86.69,11.94,75.37,70.87,0,33.82,50,16.18,"0.1441",0.1515
"8746","335312","NY","119",160,"No","Yes","No",0.69,13.01,79.77,17.16,83.58,53.16,0,44.78,45.52,9.7,"0.1780",0.1657
"8750","335317","NY","081",200,"No","Yes","No",12.37,15.23,58.8,7.39,73.3,47.13,0,26.7,47.73,25.57,"0.2466",0.1702
"8752","335321","NY","005",240,"No","Yes","No",2.2,14.289,63.48,14.44,77.01,48.18,14.36,48.4,28.72,22.87,"0.2171",0.1828
"8755","335324","NY","057",160,"No","No","Yes",0,11.431,85.17,29.41,85.29,65.46,0,32.12,37.96,29.93,".",0.1297
"8757","335326","NY","029",200,"No","Yes","No",2.16,13.635,84.46,30.23,72.09,61.93,8.14,34.5,53.8,11.7,".",0.0853
"8758","335327","NY","081",200,"No","Yes","No",0,13.579,74.75,21.12,77.02,38.4,0,26.09,62.11,11.8,"0.1530",0.1369
"8759","335328","NY","047",240,"No","Yes","No",4.91,16.189,77.15,25.79,86.32,55.48,16.67,28.13,46.88,25,"0.2135",0.2243
"8760","335330","NY","101",120,"No","Yes","No",0,12.578,77.28,23.26,74.42,59.16,0,31.03,47.13,21.84,"0.1843",0.1469
"8761","335331","NY","115",120,"No","Yes","No",1.72,12.611,77.79,19.78,75.82,59.28,0,29.67,53.85,16.48,".",0.1419
"8762","335332","NY","085",378,"No","No","No",0.55,12.705,85.03,20.47,79.6,69.98,0,38.67,46.33,15,"0.1494",0.1645
"8764","335334","NY","061",520,"No","Yes","No",0,12.118,82.2,14.38,73.48,55.48,0,36.4,55.28,8.31,"0.1858",0.1667
"8765","335336","NY","081",200,"No","No","No",0,13.1,82.17,18.01,87.58,59.7,0,31.01,60.76,8.23,".",0.2114
"8767","335338","NY","067",455,"No","Yes","No",2.65,13.149,78.41,15.29,74.84,53.39,0,30.89,48.09,21.02,".",0.2388
"8769","335340","NY","067",156,"No","No","No",0,12.323,86.37,18.97,80.17,70.11,0,20.83,66.67,12.5,".",0.1957
"8773","335345","NY","069",190,"No","No","Yes",1.14,12.522,84.58,13.7,69.86,69.09,0,23.97,59.59,16.44,".",0.1472
"8774","335346","NY","107",200,"Yes","Yes","No",0,12.26,82.51,21.18,72.35,60.93,0,35.47,53.49,11.05,"0.1326",0.1205
"8775","335347","NY","005",191,"No","Yes","No",2.19,12.463,73.52,12.72,73.41,49.77,0,40.46,43.93,15.61,"0.2029",0.1269
"8776","335348","NY","027",100,"No","No","No",0,12.587,81.18,19.77,68.6,62.66,0,38.03,47.89,14.08,"0.1202",0.1389
"8777","335349","NY","081",218,"No","Yes","No",4.81,14.687,75.1,12.57,83.06,46.75,12.02,28.42,43.17,28.42,"0.1611",0.1861
"8778","335350","NY","119",160,"Yes","No","No",0,13.416,77.77,8.39,81.82,48.83,0,39.16,41.96,18.88,"0.1742",0.2156
"8781","335353","NY","013",120,"Yes","Yes","No",0,13.211,84.88,27.93,63.96,58.26,0,18.18,60,21.82,".",0.1608
"8782","335355","NY","017",80,"No","No","Yes",0,11.903,86.55,37.5,70.83,72.83,0,26.39,54.17,19.44,".",0.0513
"8783","335357","NY","009",120,"No","No","No",1.68,12.813,84.9,0,60.75,74.58,0,27.36,54.72,17.92,".",0.171
"8784","335358","NY","005",240,"No","Yes","No",0.44,10.908,74.63,15.35,75.81,55.76,0,30.23,65.12,4.65,"0.1709",0.1283
"8786","335363","NY","081",432,"No","No","No",0,12.82,88.57,27.3,83.98,64.86,0,34.22,51.33,14.45,".",0.1474
"8788","335365","NY","087",160,"No","Yes","No",0,14.271,77.5,27.48,80.92,57.29,0,51.91,35.11,12.98,"0.1674",0.2042
"8789","335366","NY","055",44,"No","Yes","No",0,12.983,89.37,35.71,69.05,55.26,0,30.95,69.05,0,".",0.1334
"8790","335368","NY","001",200,"No","Yes","No",2.63,11.381,72.61,8.28,76.92,43.12,0,32.93,58.08,8.98,".",0.1825
"8792","335371","NY","007",160,"Yes","Yes","No",0,11.527,74.24,12.28,57.02,58.56,0,38.68,46.23,15.09,".",0.1572
"8793","335372","NY","085",320,"No","Yes","No",0.38,13.349,71.49,22.83,78.35,50.14,8.66,43.48,45.06,11.46,"0.1584",0.1669
"8794","335373","NY","005",200,"No","Yes","No",0,12.444,75.1,17.34,72.83,47.22,0,35.26,42.2,22.54,".",0.1579
"8796","335375","NY","097",120,"No","No","Yes",0,12.799,86.24,15,72,61.11,0,23,51,26,".",0.108
"8800","335379","NY","081",200,"No","Yes","No",3,13.986,76.5,12.14,79.19,46.21,0,27.01,59.2,13.79,".",0.174
"8801","335380","NY","087",120,"No","Yes","No",1.69,12.451,74.46,17.48,70.87,46.18,0,23.58,59.43,16.98,"0.2057",0.156
"8802","335381","NY","047",448,"Yes","No","Yes",0,12.471,69.1,18.46,76.67,51.31,6.87,52.05,31.79,16.15,".",0.1443
"8803","335382","NY","011",297,"No","No","No",0.39,12.273,83.85,21.99,82.57,64.37,0,24.38,58.26,17.36,".",0.1225
"8804","335383","NY","119",304,"Yes","No","No",0.67,13.122,86.71,23.51,78.36,64.85,0,24.07,51.11,24.81,"0.1626",0.1417
"8807","335388","NY","005",240,"No","Yes","No",4.52,10.663,73.51,10.19,75.46,40.91,0,37.5,56.48,6.02,"0.1740",0.1625
"8808","335389","NY","021",120,"No","Yes","No",0,10.235,73.74,17.35,68.37,60,0,50,36,14,"0.2433",0.2642
"8809","335390","NY","103",164,"No","Yes","No",0,12.613,74.65,17.6,80,57.09,0,38.4,50.4,11.2,".",0.1525
"8811","335392","NY","023",200,"No","Yes","No",0,10.865,70.38,11.98,60.48,42.26,0,38.92,48.5,12.57,".",0.1689
"8812","335393","NY","007",160,"No","Yes","No",0,12.021,83.95,9.6,75.2,57.98,0,35.2,56.8,8,".",0.202
"8813","335394","NY","091",356,"No","No","No",0,11.384,84.93,14.98,75.24,67.44,0,36,59.67,4.33,".",0.1015
"8816","335398","NY","119",120,"No","Yes","No",0,13.29,80.73,15.22,82.61,56.11,0,23.08,62.64,14.29,"0.1812",0.2128
"8818","335400","NY","099",120,"No","Yes","No",1.09,12.704,84.55,14.94,71.26,62.96,0,28.41,57.95,13.64,".",0.1716
"8819","335401","NY","103",160,"No","No","No",0,12.833,81.95,18.42,74.56,60,0,42.11,47.37,10.53,".",0.1215
"8822","335404","NY","027",120,"No","Yes","No",0,13.348,78.47,15.69,69.61,56.61,0,33.33,47.06,19.61,".",0.1492
"8823","335405","NY","027",328,"No","Yes","No",0.33,11.592,75.28,25.84,63.3,55.56,0,21.64,64.55,13.81,".",0.1289
"8824","335406","NY","117",192,"Yes","No","No",0,11.974,84.78,8.88,73.96,58.26,0,33.14,60.95,5.92,".",0.1165
"8828","335410","NY","103",120,"No","Yes","No",0,12.517,79.83,23.33,75.56,68.01,0,43.96,41.76,14.29,"0.1979",0.1533
"8829","335411","NY","047",320,"No","Yes","No",0.7,12.784,80.13,27.92,89.81,52.72,0,34.21,53.76,12.03,".",0.1803
"8830","335412","NY","077",174,"Yes","Yes","No",1.2,11.602,82.03,12.82,59.62,60.14,0,34.62,53.85,11.54,"0.1906",0.1614
"8831","335413","NY","115",122,"No","Yes","No",0,12.296,80.25,16.36,72.73,51.57,0,24.55,62.73,12.73,"0.1753",0.0886
"8832","335415","NY","081",200,"No","Yes","No",0.57,13.149,70.65,11.45,69.28,39.71,0,36.53,50.9,12.57,"0.2279",0.1278
"8833","335416","NY","081",360,"No","Yes","No",0,13.242,83.39,15.46,82.82,58.44,0,38.83,52.23,8.93,"0.1744",0.1626
"8834","335418","NY","087",182,"No","No","No",0,14.661,77.71,18.83,79.87,45.59,0,26.45,43.87,29.68,".",0.1469
"8835","335419","NY","029",80,"No","No","Yes",0,14.157,74.82,36.99,83.56,74.42,0,27.4,47.95,24.66,".",0.1514
"8836","335421","NY","119",120,"No","Yes","No",0,12.361,78.44,14.58,83.33,53.13,0,25,48.96,26.04,"0.2424",0.143
"8837","335422","NY","057",120,"No","Yes","No",0,11.628,85.19,15.96,72.34,62.85,0,24.47,57.45,18.09,"0.1846",0.1814
"8838","335423","NY","037",160,"No","Yes","No",0,12.113,81.03,22.14,69.47,69.83,0,33.58,53.73,12.69,".",0.0899
"8840","335425","NY","001",250,"No","No","No",0,11.573,75.72,13.33,70.77,51.6,0,26.32,55.79,17.89,".",0.166
"8841","335426","NY","081",320,"No","Yes","No",3.21,14.612,74.28,14.49,80.43,53.79,3.99,33.7,50.36,15.94,".",0.2261
"8842","335427","NY","053",160,"No","No","Yes",0.64,12.73,82.13,13.19,79.17,63.56,6.94,35.42,55.56,9.03,".",0.0826
"8845","335431","NY","045",272,"Yes","No","Yes",0.75,12.234,82.93,31.3,82.61,56.91,0,26.92,53.85,19.23,".",0.1318
"8846","335432","NY","059",200,"No","Yes","No",0,13.063,78.21,16.81,70.59,51.33,0,38.14,50.85,11.02,"0.2394",0.189
